"filename", "language", "Markdown", "XML", "JavaScript", "JavaScript JSX", "CSS", "JSON", "HTML", "SQL", "comment", "blank", "total"
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\products.js", "JavaScript", 0, 0, 275, 0, 0, 0, 0, 0, 0, 6, 281
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\index.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\main.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\Khaltitest.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 4, 5, 51
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheCart.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 2, 3, 53
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheCustomize.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheHome.jsx", "JavaScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 1, 13, 65
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheKids.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 7, 91
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheLogin.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 7, 114
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheMen.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 8, 93
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheProductDetails.jsx", "JavaScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 22, 13, 125
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheProfile.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheRegistration.jsx", "JavaScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 0, 11, 206
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheRequestProduct.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheSale.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 8, 82
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheWomen.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 7, 91
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\routes\TheRouter.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 4, 62
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\api\config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\api\index.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 0, 1, 20, 100
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\localStorage.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\navigation.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\search_api.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 4, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\store\auth.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 1, 10, 45
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\store\products.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\utils\date.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\utils\time.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\tailwind.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 2, 31
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 5, 1, 1168, 3099, 47, 20712, 17, 72, 120, 552, 25793
